product,date,title,rating,body
"Amazon.com: Customer reviews: YI Home Security Camera, 1080p 2.4G WiFi IP Indoor Surveillance Camera with Night Vision, Motion Detection, Phone App, Pet Cat Dog Cam Works with Alexa and Google Assistance","Reviewed in the United States on March 19, 2018","Great camera, if you want to give access to your privacy!",1.0,"Camera platform functions well and video quality really is good considering the price point.  Then I read the privacy policy!!!  For some reason, I overlooked the reviews related to this prior to purchase.  No thanks!  There is specific language within the policy to allow permissions to view your video, track web usage and passwords, even related to social media accounts. YI advised they were changing this back in December of 2017.  As of March 2018, nothing has changed within the privacy policy."
"Amazon.com: Customer reviews: YI Home Security Camera, 1080p 2.4G WiFi IP Indoor Surveillance Camera with Night Vision, Motion Detection, Phone App, Pet Cat Dog Cam Works with Alexa and Google Assistance","Reviewed in the United States on February 23, 2018",Information collecting machine for the Yi company,1.0,"This Camera WILL NOT WORK unless you give Yi access to all of your personal information, and a internet signal to use so they can download your video feeds even if you don't use the cloud service. With in minutes of installing, the camera began sending back information on the wifi without permission or prompting, I thought the reviews saying that the company was collecting personal data were wrong however they seem to be totally true. There is absolutely no reason that this camera should not be able to work without a live internet connection."
"Amazon.com: Customer reviews: YI Home Security Camera, 1080p 2.4G WiFi IP Indoor Surveillance Camera with Night Vision, Motion Detection, Phone App, Pet Cat Dog Cam Works with Alexa and Google Assistance","Reviewed in the United States on November 26, 2017",Purchased for security - but don't feel secure. Privacy policy means no privacy...,1.0,"Over the course of several months, I ended up purchasing 4 of these devices and was generally satisfied with the image quality and ability to monitor.I then got update to privacy policy sometime in the fall. I read through it and found that by using the app, you are giving the company cart blanc to use your data in any way they want. I didn't accept the agreement. Left the camera plugged in, but didn't use the app that controls them. Yesterday, even though I had not agreed to the policy - I found that the Yi App had used 552MB of mobile data since late August. I hadn't downloaded any images in months. I forced stopped the application and have unplugged all my cameras.Seems over the top in permissions. They can obtain and share with 3rd party. What information - see some below? They note they can collect tons including your Wifi name and password. You can delete your account, but they have language saying that they can retain your information - forever... Think most people buy these to add security, but it doesn't seem like these cameras enhance data/personal security.From the privacy policy  - [sorry can't provide b/c the initial posting included their homepage - which Amazon does not allow].Starts with...""we will collect some personally identifiable information from you, including your full name, username, email address, and a password that you select. When you interact with the Services, we also receive and store certain additional types of information which, in general, do not directly identify you. For example, we automatically receive and record information on our server logs from your browser or device including your IP address, browser type and language, referring/exit pages and URLs, other browser history, device type, WIFI network information (including name and password), platform type, number of clicks, landing pages, cookie information, the pages you requested and viewed, the amount of time spent on particular pages, and the date and time.""and gets worse from there...."
"Amazon.com: Customer reviews: YI Home Security Camera, 1080p 2.4G WiFi IP Indoor Surveillance Camera with Night Vision, Motion Detection, Phone App, Pet Cat Dog Cam Works with Alexa and Google Assistance","Reviewed in the United States on May 13, 2017",Great inexpensive security camera with easy setup!,5.0,Bought this to monitor our front door while away on a trip.  Delivery of the item was on time and I got it set up on my android phone in less than a half hour.  We bought a 32GB micro SD card for it and positioned the camera to view outside the office window towards our front porch and the picture is very clear at all times of the day!  I am able to receive the alerts and view them from my phone and/or laptop. I am also able to view more than the 6 second clip if I want to watch the full footage of the movement.  It is easy to save the 6 second clip to the SD card; however it doesn't save the full footage.  But I found out that if I leave that clip in that day's activities then I can still view the footage.  I have set both the sensitivity and alert frequency settings to low and it still picks up passing vehicles but I am okay with that since I am able to delete the unneeded clips easily.  I am amazed and pleased that I can be hundreds of miles away and still be able to monitor my front porch.  And it's considerably cheaper than the Ring or Nest products. I am very pleased with this product!!!
"Amazon.com: Customer reviews: YI Home Security Camera, 1080p 2.4G WiFi IP Indoor Surveillance Camera with Night Vision, Motion Detection, Phone App, Pet Cat Dog Cam Works with Alexa and Google Assistance","Reviewed in the United States on November 9, 2017",A camera for random companies to spy on you and yours!,1.0,"I heard about the updates and the ridiculous privacy policy, but I read them carefully during and after installation and didn't see anything alarming. After the return date passed, then the dreaded update came. Just skimming it, the policy seemed like a joke - no one could possibly be alright with all of your information being tracked and maintained indefinitely by multiple parties. I was forced to accept it simply to remove the camera from my account to able to give it away. Huge waste of time and money. I also wonder if the updates are set to wait until you can no longer return it."
"Amazon.com: Customer reviews: YI Home Security Camera, 1080p 2.4G WiFi IP Indoor Surveillance Camera with Night Vision, Motion Detection, Phone App, Pet Cat Dog Cam Works with Alexa and Google Assistance","Reviewed in the United States on September 29, 2017",Not a Surveillance Camera - The PC software is very poor,1.0,Do Not Use as a Surveillance camera! Whenever they update their software they make you agree to their terms all over again! If you say 'no' then the camera will no longer work until you agree again! Their PC software times out on purpose. You think you are looking at a live picture from several feet away but they paused it without your permission and you are looking at something from hours ago. You have to be next to the screen to see it was paused. So much for security or a baby monitor. Useless.
"Amazon.com: Customer reviews: YI Home Security Camera, 1080p 2.4G WiFi IP Indoor Surveillance Camera with Night Vision, Motion Detection, Phone App, Pet Cat Dog Cam Works with Alexa and Google Assistance","Reviewed in the United States on September 16, 2017","WAS GREAT, BUT HAVING ISSUES",4.0,"Updated 9/2018:I have tried several other known name cameras and the quality of this is very good compared those out there and with a good app. I just ordered another camera and actually read the privacy policy which I recommend you do, unless you don’t care about that stuff. Here’s my take in the camera itself.SETUPVery easy and quick. Only connects to 2.4G wifi.CAMERA / AUDIOVideo resolution quality is very good. Probably one of the best if not the best i’ve tested (Blink and Canary). If you’re curious about doorbell cams, I currently have a Ring doorbell 2 installed and this video quality is noticeably better and clearer pointing out in the same area. Night vision works well and is clear which can be manually turned off if desired. Streaming is fluid and haven't experienced any buffering or freezing yet. Clear picture and good colors. Motion dection WORKS through dual pane glass window! It will record motion as it picks it up. For example, I have the detection set only on the floor section of the porch so it only detects motions as soon as someone walks onto my porch (not walk by). If someone delivers a package and puts it on my porch which will then activate mobile notifications, the camera playback will record BEFORE the person fully walks up to my porch (the detection zone). The motion notifications to my cell is fairly quick. The microphone picks up sound very well through dual a pane window and the speaker can be heard clearly from outside for example if you put this at your front door and want to communicate.APPNicely designed and user friendly with lots of features. Here are just some of those features: set a 4 digit passcode or Touch ID to view camera feed, ability to turn camera and mic on/off, flip the image 180 degrees, pan view for wider angles in portrait mode (uses motion of your phone similar to the 360 videos or swipe), record while viewing live!, take and save snap shots while viewing live!, two way talk. Customize motion detection area size and placement. I've experienced live view connects in 3 seconds or less.STORAGEIt has a micro SD memory card slot! Not available with Canary and Blink. With YI you get free 6 second motion clips with cloud storage and if you want to view full clips you will need to add a micro SD card. Clips are saved for at least 5 days (could be longer, I haven’t really paid attention). YI also offers different storage plans so check those out if you plan on using that. I personally just use an SD card.BUILD QUALITYFirst packaging is quality (not that you care but is a nice touch). Build quality is excellent. I know it's a knock off of the Nest dropcam design but I don't care, it's $30! now (I paid $60 at the time) and it's excellent for the price. The camera itself is rotatable and removable from its stand which offers more custom mounting ideas with its design. The camera has to be plugged into power though. It comes with a decent length power cord but I think it should be longer. Wall mount is not included. Bottom of the stand has a rubber pad for sturdier stance.FINAL THOUGHTSI am impressed with this camera and what YI is offering their customers. They are definetly competing hard with the more expensive well known players like Nest, Blink, Canary, Samsung etc. If you’re ok with the privacy policy then this a good camera.UPDATE 2/2019:A couple things we’ve noticed is 1) the quickness to view the camera and 2) the apps recording alerts. What I mean by the first “issue” is when someone rings/knocks at the door, it takes a bit too long to open the app, load and view the person at the door. We have a pin/fingerprint lock set up on ours so that could be a factor. As for #2, what ever update Yi did to the app is frustrating. EVERYTIME we get a notification alert and go to the app to view it, it stays on loading and doesn’t show the recording or the alert. Very annoying and makes it sort of pointless. I know it’s not the app on my phone because my wife has the same problem on her phone. Hopefully they fix this issue real quick."
"Amazon.com: Customer reviews: YI Home Security Camera, 1080p 2.4G WiFi IP Indoor Surveillance Camera with Night Vision, Motion Detection, Phone App, Pet Cat Dog Cam Works with Alexa and Google Assistance","Reviewed in the United States on June 14, 2017","Good camera, im using it with a 64GB SD ...",5.0,"Good camera, im using it with a 64GB SD card, its been almost a week since I installed it and the card still has over 20GB free space.The seller is a pain in the @ss emailing daily begging for feedback."
"Amazon.com: Customer reviews: YI Home Security Camera, 1080p 2.4G WiFi IP Indoor Surveillance Camera with Night Vision, Motion Detection, Phone App, Pet Cat Dog Cam Works with Alexa and Google Assistance","Reviewed in the United States on February 13, 2018",Started to stink like burning electronics... eek!,1.0,"Edit: I just received my replacement, plugged it in and within 30 minutes the new one did the same thing. It stinks like burnt circuit board. If I could give this product 0 stars I would. Do not buy!I loved the camera, it worked perfectly for a few days until it started to smell. I’ve had to unplug it and move it out to the garage after it started producing a melting plastic/ozone/faulty electronic smell. It was headache inducing and filled the room.Maybe our is a dud? I haven’t seen the “smell” issue in comments before."
"Amazon.com: Customer reviews: YI Home Security Camera, 1080p 2.4G WiFi IP Indoor Surveillance Camera with Night Vision, Motion Detection, Phone App, Pet Cat Dog Cam Works with Alexa and Google Assistance","Reviewed in the United States on October 21, 2018",Motion detection option is awesome.,5.0,This thing is amazing. Picture is super clear and detailed. The only thing that would make it better is if it told me the temp in my toddlers room (I use it as a baby monitor). Sound quality is great. Such a great buy.
